"","category","name","reviewer","reviews","veridied","date.of.review","ratings"
"1","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","DEVUN","Bonne coupe, à l'air solidePrends l'eau en cas de forte pluie, est complètement trempé","Verified Purchase","Reviewed in Belgium on 5 October 2023","4.1 out of 5 stars"
"2","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Peter","Jackan passar perfekt, men jag saknar en knapp på mitten över blixtlåset. Priset aningen för högt för en så pass enkel höstmodell.","Verified Purchase","Reviewed in Sweden on 5 October 2022","4.0 out of 5 stars"
"3","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Alberto García Martínez","Bonita chaqueta pero el tallaje es pequeño. Recomiendo pedir una talla más.","Verified Purchase","Reviewed in Spain on 25 October 2023","4.0 out of 5 stars"
"4","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Regi","Blouson pratique et léger, semble robuste.Très bien pour printemps et automne.","Verified Purchase","Reviewed in France on 16 October 2023","4.0 out of 5 stars"
"5","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","William ROGER Baker","Over sized, arms far, far too long, and elastic no weak and not tight enough.","Verified Purchase","Reviewed in the United Kingdom on 1 February 2019","5.0 out of 5 stars"
"6","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Bryan Hall","Great jacket, very impressed with the quality and workmanship of this jacket. 👍","Verified Purchase","Reviewed in the United Kingdom on 1 February 2024","1.0 out of 5 stars"
"7","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","alessandro","Occhio alle taglie! Io, che normalmente porto XL, ho preso XL ma mettendola mi sembrava una XXL. Ho dovuto rimandarla indietro e prendere la L, con cui mi trovo benissimo.","Verified Purchase","Reviewed in Italy on 7 April 2023","5.0 out of 5 stars"
"8","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Aitor","Talla perfecta, justo la que uso habitualmente, muy buena chaqueta y buen acabado, la verdad que me ha sorprendido por el precio que tiene, la recomiendo para uso casual.","Verified Purchase","Reviewed in Spain on 31 December 2019","5.0 out of 5 stars"
"9","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Stefan SWA","Gut verarbeitet, sieht gut aus. Guter Preis.","Verified Purchase","Reviewed in Germany on 10 February 2024","5.0 out of 5 stars"
"10","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Alan W","Nice styled jacket,  very comfortable, and good value for money, waterproof ness hasn't been tested yet. But I like the fit and there are plenty of pockets.","Verified Purchase","Reviewed in the United Kingdom on 21 October 2023","5.0 out of 5 stars"
"11","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","leblanc","Bonjour. J’ai bien reçu le blouson que j’ai commandé pour mon frère mais je pense qu’il va être trop grand . Je lui offre le 24 février. Puis-je le retourner et le recevoir plus petit si il est trop grand . Merci pour votre réponse","Verified Purchase","Reviewed in France on 14 February 2024","4.1 out of 5 stars"
"12","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","imanol s.","Me ha gustado mucho la estética","Verified Purchase","Reviewed in Spain on 19 December 2023","4.0 out of 5 stars"
"13","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Stefan Grebing","Das Produkt erfüllt meine Erwartungen.Es passt gut, sieht gut aus","Verified Purchase","Reviewed in Germany on 17 November 2023","4.0 out of 5 stars"
"14","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Sergio","un precedente acquisto del medesimo modello ( con pelliccia interna ) reso unicamente per la taglia ( L...mia ) troppo ""generosa"" mi ha portato ad acquistare questo con una taglia in meno... Perfetto.Per il resto, lavorazione, materiali, estetica, coerenza con il pubblicizzato, tutto OK !","Verified Purchase","Reviewed in Italy on 19 September 2023","4.0 out of 5 stars"
"15","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","GENSANNE","ATTENTION, taille grand","Verified Purchase","Reviewed in France on 1 December 2022","4.0 out of 5 stars"
"16","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","antonio","Giacca ottima per le mezze stagioni, è davvero fatta bene","Verified Purchase","Reviewed in Italy on 6 May 2022","5.0 out of 5 stars"
"17","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Amazon Customer","Better than expected, Jacket very thick and good looking","Verified Purchase","Reviewed in the United Kingdom on 28 December 2023","5.0 out of 5 stars"
"18","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Michael","Der Schnitt und die Qualität entspricht voll meine Erwartungen. Preis - Leistung sehr gut!!","Verified Purchase","Reviewed in Germany on 7 February 2024","4.0 out of 5 stars"
"19","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Jessica","He comprado el producto para un regalo de reyes y me da hasta vergüenza entregarlo , es fino como el papel , nada que ver con la foto , la tela de mala calidad parece del chino. No lo recomiendo nada de echo lo voy a descambiar. No paguéis tanto dinero para el pésimo producto que ofrece.","Verified Purchase","Reviewed in Spain on 2 January 2023","5.0 out of 5 stars"
"20","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Alberto","Todo bien pero la cremallera es de plástico y se nota de baja calidad","Verified Purchase","Reviewed in Spain on 14 November 2019","1.0 out of 5 stars"
"21","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Eltham N. Jones","fit is perfect.  All I need now is to lose about 120kg so that it looks as good on me as it does on the model in the listing...","Verified Purchase","Reviewed in the United Kingdom on 7 December 2023","4.1 out of 5 stars"
"22","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Ange","Beaucoup trop fine pour l'hiver mais vraiment de belle qualité","Verified Purchase","Reviewed in France on 21 January 2023","5.0 out of 5 stars"
"23","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Peter M.","Wie bei allen Textilien gibt es bei der Normgröße Toleranzwerte. Diese Jacke hat, wenn überhauot, den untersten Wert der TW erreicht. Somit zu eng. Eine weitere aus dem gleichen Sortiment entsprach der Größe XXL .","Verified Purchase","Reviewed in Germany on 11 October 2023","3.0 out of 5 stars"
"24","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Alberto","La misura era troppo grande, di conseguenza ho avviato il reso ma non mi è mai stato dato nessun rimborso.Ne una cominicazione da parte del venditore e ne da Amazon.Molto deluso.","Verified Purchase","Reviewed in Italy on 11 January 2024","3.0 out of 5 stars"
"25","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","claudio r.","Senza lode e senza infamia","Verified Purchase","Reviewed in Italy on 1 December 2022","1.0 out of 5 stars"
"26","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","gael simonet","Reçu deux fois avec la mauvaise taille et la mauvaise couleur demandée la couleur ne correspond donc pas à celle en photo et j'ai demander deux fois du M et j'ai reçu systématiquement du L dommage le produit a l'air de bonne qualité","Verified Purchase","Reviewed in France on 11 February 2023","3.0 out of 5 stars"
"27","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Heiko Korn","+++Qualität Super+++Preis/Leistung gut+++schnelle Lieferung+++Perfekt+++","Verified Purchase","Reviewed in Germany on 27 January 2024","1.0 out of 5 stars"
"28","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","annunziata compagnone","mi è piaciuta la qualità e le rifiniture","Verified Purchase","Reviewed in Italy on 4 January 2022","5.0 out of 5 stars"
"29","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Amazon Kunde","Super Qualität 👍","Verified Purchase","Reviewed in Germany on 1 February 2024","4.0 out of 5 stars"
"30","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","gabi","Veste mis saison, trop belle, taille L, j'ai 1.7 m et 85 kg avec du ventre  ;)  , elle me va perfectement , tres bonne qualité, je dirais qu'on peux la porter avec un pull fin jusqu'a une temperature de 5 degré , je recommande, elle est au top","Verified Purchase","Reviewed in France on 14 October 2022","5.0 out of 5 stars"
"31","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Robin Swift","I got a small and when I wear it, it looks like I've put on many extra pounds. I was hoping for a more skinny fit. If skinny fit is what you want, don't get this. But it's warm and it's a cool style, with secure pockets, 2 zip pockets and 4 button fastening pockets, also has a inside pocket, but you can't fasten that.It's a nice coat but I expected better.","Verified Purchase","Reviewed in the United Kingdom on 20 October 2021","4.1 out of 5 stars"
"32","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Dave Keeley","A very good buy","Verified Purchase","Reviewed in the United Kingdom on 27 January 2024","3.0 out of 5 stars"
"33","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","W...3","Schöne Jacke mit guter Verarbeitung. Fällt kleiner aus. Eigentlich passt mir Größe M, hier jedoch S.Zu Bemängeln wäre der etwas schwergängige Reißverschluss und die etwas kleinen Brusttaschen, welche für heutige Smartphonegrössen zu klein sind.","Verified Purchase","Reviewed in Germany on 14 August 2023","5.0 out of 5 stars"
"34","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Bonnard","Très bon blouson, bonne qualité, léger, plein de poches....","Verified Purchase","Reviewed in France on 27 May 2023","4.0 out of 5 stars"
"35","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","michel d","trés bien","Verified Purchase","Reviewed in France on 13 December 2023","4.0 out of 5 stars"
"36","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","güba","Man(n) sollte die Jacke eine Nr. grösser kaufen ,ich trage allgemein XL, hier passt aber XXL perfekt. Die Jacke ist bequem, leicht und sieht auch gut aus. Gut im Auto, gut für Unterwegs, gut für den normalen Einsatz Jetzt muss sie nur noch halten.","Verified Purchase","Reviewed in Germany on 17 February 2024","5.0 out of 5 stars"
"37","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Kindle Customer","I'm 5ft 6in small with a stocky,middle aged build and it fits me quite well with room for a thin pullover underneath.So far I am pleased with this cotton jacket which,by the way, is not waterproof.","Verified Purchase","Reviewed in the United Kingdom on 16 September 2023","5.0 out of 5 stars"
"38","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Kindle Customer","Why oh WHY do manufacturers never put on 2 inside pockets nowadays?????? I needed one for my wallet, and one for my mobile fone - so lucky for me I'm pretty nifty with a needle and thread ....... I put on an extra inside pocket myself!!!!! But it seems to be a trend - too many fairly impractical gimmicky outside pockets on the chest area instead of 2 good-sized inside pockets🤨","Verified Purchase","Reviewed in the United Kingdom on 13 October 2023","4.0 out of 5 stars"
"39","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","MadMac","Zweck erfüllt","Verified Purchase","Reviewed in Germany on 7 February 2024","4.0 out of 5 stars"
"40","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","PROMETHEUS","price","Verified Purchase","Reviewed in the United Kingdom on 16 November 2023","4.0 out of 5 stars"
"41","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Pete","Nice and warm","Verified Purchase","Reviewed in the United Kingdom on 11 November 2023","4.1 out of 5 stars"
"42","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","yunus abid","Your browser does not support HTML5 video.
         You can wear in winter and summer as well","Verified Purchase","Reviewed in the United Kingdom on 30 December 2023","4.0 out of 5 stars"
"43","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","yunus abid","Brought for my husband and it suits him.","Verified Purchase","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"44","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Me","Passform und Qualität OK","Verified Purchase","Reviewed in Germany on 27 January 2024","5.0 out of 5 stars"
"45","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","unisono","I love it","Verified Purchase","Reviewed in the United Kingdom on 6 January 2024","5.0 out of 5 stars"
"46","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","mart","Hab die hellblaue bestellt aber Dunkelblau bekommen. Die Jacke is aber toll.","Verified Purchase","Reviewed in Germany on 2 December 2023","5.0 out of 5 stars"
"47","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Markus Schmidt","Mir gefällt die Optik der Jacke . Die Verarbeitung ist gut. Passt , wackelt und hat Luft. Es ist eine Übergangsjacke","Verified Purchase","Reviewed in Germany on 21 November 2023","5.0 out of 5 stars"
"48","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","Hans-Jürgen Boldt","Vêtement Très agréable à  porter, chaud et deperlant. Pas mal de poches, pour moi c'est top.","Verified Purchase","Reviewed in France on 8 September 2023","4.0 out of 5 stars"
"49","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","chappe","Chaud","Verified Purchase","Reviewed in France on 4 October 2023","4.0 out of 5 stars"
"50","Jacket","KEFITEVD Men's Casual Cargo Jacket Autumn Bombers Military Bomber Jacket Windbreaker Coat, Navy Blue","AL","Exactly what I wanted. Very good jacket","Verified Purchase","Reviewed in the United Kingdom on 17 December 2023","4.0 out of 5 stars"
